title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
House for sale in Madhyapur Thimi Bhaktapur | 9851129421,Bhaktapur,Madhyapur-Thimi,Suryabinayak,1026.75,13,21500000,6,5,2073,3-,East,https://www.gharghaderi.com/house/792-House-for-sale-in-Madhyapur-Thimi-Bhaktapur/
"House for Sale, Near Nepal Korea Friendship Hospital | 9813951328",Bhaktapur,Madhyapur Thimi,"Siddhikali Tole, Thimi",1369,20,23000000,5,3,2075,3-,North east,https://www.gharghaderi.com/house/2747-House-for-Sale-Near-Nepal-Korea-Friendship-Hospital/
House for sale in Sipadol Suryabinayak | 9861589682,Bhaktapur,Suryabinayak,Sipadol,1497.34,12,23000000,5,3,2076,3-,South west,https://www.gharghaderi.com/house/1140-House-for-sale-in-Sipadol-Suryabinayak/
"House for Sale in Radhe Radhe, Bhaktapur | 9869568675",Bhaktapur,Madhyapur Thimi,"Radhe Radhe, Kamerotar Planning",800,22,24000000,4,4,2076,3-,North,https://www.gharghaderi.com/house/2182-House-for-Sale-in-Radhe-Radhe-Bhaktapur/
New House For sale in Sanothimi | 9841478993,Bhaktapur,Madhyapur Thimi,Sano Thimi,1197.875,20,24500000,5,3,2076,3-,North,https://www.gharghaderi.com/house/1818-New-House-For-sale-in-Sanothimi/
"New house for sale at Sirutar, Suryabinayak 1,Bhaktapur | 9851186388",Bhaktapur,Suryabinayak,"Near of Nic Asia Bank,Sirutar",1133,16,25000000,4,4,2074,3-,West,https://www.gharghaderi.com/house/3361-New-house-for-sale-at-Sirutar-Suryabinayak-1-Bhaktapur/
Almost new house sale in Sallaghari Bhaktapur | 9851255700,Bhaktapur,BMC,Sallaghari,1369,13,25000000,6,3,2075,3-,North west,https://www.gharghaderi.com/house/1668-Almost-new-house-sale-in-Sallaghari-Bhaktapur/
Urgent sell house | 9845167392,Bhaktapur,Suryabinayak,Chundevi,1796.81,13,26500000,8,4,2076,3-,East,https://www.gharghaderi.com/house/2276-Urgent-sell-house/
New house for sale in Bhaktapur Naya thimi - 04 | 9863034467,Bhaktapur,Madhyapur Thimi,Ss college near city flash swimming pool,1197.87,13,27499999,7,3,2074,3-,North east,https://www.gharghaderi.com/house/2278-New-house-for-sale-in-Bhaktapur-Naya-thimi---04/
4 Storey New House at Balkot 2 Suryabinayak | 9843453334,Bhaktapur,Suryabinayak,Balkot,1582.9,13,28000000,8,5,2075,3-,East,https://www.gharghaderi.com/house/646-4-Storey-New-House-at-Balkot-2-Suryabinayak/
